text,label
"Keren banget videonya bang,,so simple tapi langsung mengerti,, penjelasannya gk bertele tele tapi point ny dapet...sangat berguna bagiku yg mau terbang pertama kali dala hidupku",2
Mksih y bang membatu sekli vidio ya  sagt bermempaat seperti saya belum pernh naik pesawat 😅😅mkasih y bang,2
"mantap abang, makasih banyakk",2
"Haha bismillah bulan 8 yah otw ke Jakarta, terimakasih atas tutorial nya deg deg kan ygy Pertama kali naik pesawat 😭",2
"Saya blm pernah naik pesawat,, tapi katanya harus matikan hp klo udh terbang ya? Tapi  yg foto atau video gtu emg boleh? Atau modein pesawat aja? Klo udh mode pesawat aman buat foto&quot; dan video bang?",0
JIJIK GUE LIAT Kuda NIL SATU NI,0
No berapa sih biar bisa mideo sayap peswat yg paling pas di citilink?belinya bisa manual pas datanhkan di Bandara,1
Kalo bawa obat2 tan.  Sama roko. Prvum.  Pelembab. Muka boleh ga,1
"Wah makasih bgt bang tutorial lengkap nya, berasa pengalaman sendiri.",2
Senin ini saya mau berangkat dari Banjarmasin menuju Jakarta....baru pertama kali ne rasa takut naik pesawat doakan ya saya semoga selamat sampai tujuan.,0
Kak kalau beli tiket online tpi gak ada nama belakang nya itu gimana ya,1
Kayak ada pesawat tempur segala itu bang..?,0
Maaf kalau di dalam pesawat apa boleh hidup kan HP/maenan HP bang..??? 🙏,1
Bang untuk ukuran koper bagasi ada standar nya ngga pesawat ATR,1
"Sangat membantu kak, karena rencana lulus kuliah mau merantau ke Kalimantan dan masih belum punya pengalaman naik pesawat jadi deg² an nya dari pas ujian skripsi udah kerasa<br>Makasih vlog edukatif nya 🙏",2
"Kak mau tanya ngrekam gt mesti ijin  gk sih? Trus emang gpp ya ngrekam dlm pesawat, takutnya ganggu sinyal pesawatnya gt?",1
Mau tanya apakah boleh klo main hp di pesawat . Maap saya gk tau apa² tentang naik pesawat 🙂🙏,1
sekarang masih ada gak bang yg langsung dr Jkt ke Bdg ?,1
Halimkuuu 💙,1
Jelass Terimakasih. Asli deg degan. Entar kalau sudah saya inn syaa Allah kembali ya kak,2
Bang pesawat nya bagus,2
"Thx ya ka.. Sngat membantu. Dr skian bnyk vlog tentang first flight, vlog ini yng paling detail dan sangat membantu. Sukses terus ka ☺",2
"Terimakasih kaka.. sangat membantu sekali videonya, detail, jelas dan mudah dipahami. aku langsung subsscribe donk",2
Sangat membantu sekali bang terimakasih atas infonya dan reviewnya semoga channel ini sangat bermanfaat bagi orang lain 🙏,2
Mudah untk di pahami🙏🏻,2
"tutorial terlengkap,good",2
Kk aku liat di youtub orang ada yang udah nyampe terus nganu kode kode  gitu,0
Kebanyakan bacot,0
Kebanyakan bacot,0
Bang mau nanya. Sya kan beli tiket di online utk 2 orng saya dan istri sya. Pertanyaan sya apakh kita bisa duduk berdampingan dgn istri di pesawat???,1
"Singkat, padat, jelas..<br>Thanks banget bang ikhwan, sehat selalu.",1
Ka ikwan... Nanya dong <br><br>Tas bawaan sama bagasi beda ya? <br>Terus kalau transit gimana ka? <br><br>Terima kasih <br>Saya belum pernah soalnya mau naik jadi belajar sekarang hhe,1
Tutorial ke toilet pesawat dong kak,1
Masih bingung kak. Untuk alat elektronik seperti HP apakah harus dimatikan atau cukup menggunakan mode penerbangan?,0
Ko aku deg2an ya 😂 berasa sedih lagi belum juga naik,0
Trims tutorialnya pak Bos,2
Kak mau tanyaaa<br>1. Waktu security cek yang pertama itu koper di timbang nggak?<br>2. Kalo misal udah check in online lalu koper ternyata 8kg (gratis bagasi kan ya kak? Maks20) dan itu harus checkin konter lagi?,1
Delay 3 jam wkwkwk naik singa udara 😂,0
Seru banget jadi rindu kehidupan normal tanpa menggunakan masker :(,2
"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=10m43s"">10:43</a> Pramugarinya cantik bang",2
di menit 14.46 ada Sukhoi Su-30 MK2 Flanker TNI AU lagi parkir,1
Bang serius nnya itu wktu ngerekam di dlm pesawat pke HP pa handycam soalx HP Aq matiin klo dah di dalam pesawat jd g bs buat video 😀,1
Kak penitipan koper di bagasi itu dibagian check in pas akan dapat boarding pass juga ya? Trus nnti pasti ditanya petugas ga buat dititipkan dan ditimbang dlu?,1
Lengkap banget penjelasannya . Makasih y kk,1
"Deg2an karena mau ke bali, pertama kali naik pesawat... Hehhe.. makasih tutorialnya bang..",2
"udah lama nggak berpergian, jadi pengen naik pesawat dan berpergian lagi",2
Lah ada dani,1
p,1
"ka anak umur 4 thn bayar ga ya ,niat mau jemput anak naek pesawat nih tadinya",1
Pertama naik pesawat huh rasanya ndak karuan takut campur aduk....dari jogja papua transit di makasar  9 jm yang saya lakukan berdoa dan berdoa maklum WONG NDESO takut ketinggian🤭,0
Terimaksih atas² info nya,2
Mau nanya lagi nie bang pesawat buat bulan Maret tanggal 18 2022 ada gk bang buat ke palangkaraya jurusan nya ada gk bang,1
Bang mau nanya.. Ktp nya di cek SEKEN apa cuman di ambil nik nya aja soal nya ktp ASLI SAYA PATAH jdi 2 cuman saya sdh sambung lagi bisa gk bang buat naik pesawat.. Ke kalimantan palangkaraya dri jakarta palangka KTP NYA di apain di seken apa di ambil Nik ajaajagmna bng penjelasan nya bisa,1
"Bg, untuk barang di Kabin boleh ga dua tas? Total beratnya ga sampe 7 kilo.",1
Bang kalo dapet makanan dari pesawat gak bpleh bawa pulanh ya?? <br>Dan berapa jam jakarta banding,1
"Kalau beli tiket bayar per orang yaa, hehe maaf norak 2022 :)",1
eh telat 2 th ty infonya kak,0
klo ada transit gimana bang chekin ulangnya,1
Ka boleh bawa HP ke dalem trs ngerekam ya kak,1
Tutorial terlengkap,2
Alhamdulillah.,2
"Big Thanks for you banggg 💙<br>Dri semua penjelasan prosedur naik pesawat, lu doang yg paling clear and detail 😌",2
ini baru detail,2
Bang cara tau itu koper kt bagaimana ? Apa.dkkasi kode apa gimn,1
"Makasi bg tutorial yang jelas👍🏻👍🏻👍🏻 sekali dr sekian byk org yg bwt<br>Auto subs, sukses terus bg",2
Thanks bang tutor nya.. first time taun depan saya dan kelompok ke Denmark menghadiri undangan Roskilde Festival,2
Kakaaa Makasi yaaa huhu detail bgt ini🖤,2
Kek kenal pramugari nya kayak yg di vidio sebekah deh,2
Cara naik kapal laut gmn bang,1
Klo yg masih 16 thn blm pnya ktp bisa ga?,1
"Mksih bg,saya blom pernah naik pesawat,sngat membantu saya klo Allah SWT menyizinkan saya nanti pesawat..",2
Terima kasih sangat membantu 🙏,2
Akhirnya nemu tutorial yg dicari. SGT lengkap n jelas. HR ini pertama akan naik pesawat. SMG selamat SM plg kembali aamiin 🙌 trimakasih byk mas 🙏,2
KAK  sekarang  korona   bisa  nggak  anak kecil  Naik  pesawat  ??,1
"Kak, kalau misalkan kita bawa 2 koper apakah akan kena biaya lagi ?? Kalau misalkan koper di bawa ke kabin apa di bagasi ?",1
Makasi huhu detail bgt,2
Tutorial yg 👍,2
Tutor transit dong,2
"Mantap tutor nya,",2
Kak kalo naik pesawat buat orang pertama kali tuh bakal ngerasain pusing gak sih? Atau sampe mual gtu yang orgnya gampang mabuk perjalanan. Terima kasih 🙏,0
ada yang tau IG Pramugari yang di Thumbnail?,2
Bang gue nonton terus video abang tapi tujuan Ambon ko ga ada kalau ke ambon kabarin yah biar aku bisa jemput 🙏👍,1
"Salam dari anak kampung 😉<br>Mau nanya bang, selama perjalanan apakah didalam pesawat diperbolehkan mengaktifkan smart phone bang?<br><a href=""http://www.youtube.com/results?search_query=%23maap"">#maap</a> belum pernah naik pesawat nih, cuma bisa liat di Ytb 🤭",1
Bg boleh tidak bawa roti dan makan ke dlm pesawat citilink ?,1
Nitip kopernya gimana kalo dibagasi,1
Kak kalo misalnya kita transit itu kita ambil bagsi sendiri atau petugasnya yg memindahkan lagi barang nya kk?,1
awal naik pesawat tujuan jkt palembang 17 Januari 2014 waktu itu deg degn campur aduk dll,0
Mantap makasih,2
"bang,mau tanya penerbangan dari bandara radin intan 2 ke bandara kalimarau kalimantan ada bang? <br>mungkin abang pernah kesana.",1
Tutorial ini masih berlaku untuk sekarang ga ya?,1
saya parno dan takut naik pesawat...tp insyaallah pasti bisa mengatasi rasa takut,0
Kak tutor nek pesawat pas pandemi boleh gak? Rencananya tahun dpn aku mau ajak kluarga kluar kota. Terima kasih,1
"Mau tanya , apa kah bisa koper ukuran 18inc dibawa masuk taro cabin?",1
Cara rekues  dari labuan bajo ke Batam bang plis,1
"sslam sehat bang trmksih tutorial naik pesawatnya sgt bermanfaat bagi pemula,semgat n sukses terus bang..",2
Kak ada video yg pesen dari traveloka gaa?,1
bang boarding itu apa ya ?,1
josinael juga belum,0
edwin<br>apli kubtex hoel,0
"Kak, maaf belum pernah naik pesawat. Ini ngerekamnya pakai apa? Sy pikir dipesawat itu tidak boleh menyalakan alat elektronik sama sekali. 😅",0
Dari jakarta ke Kalimantan harus pake paspor ga ka?,1
Klo blm punya KTP gimana?,1
bang ATR72-600 dilihat dari mana ?,1
Thanks informasinya abang🙏,2
"Karna insya allah 2 bulan lagi gua mao ke makasar naik pesawat pertama kali, ini vidio gua simak betul&quot; .<br>Trimakasih atas info lengkap dan jelas nya bang",2
Barang atau tas yg kita bawah ke dalam kabin pesawat di hitung dari berat bagasi ya mas,1
Lengkap bgt 👍,2
"maaf ka sebelumnnya , semua pesawat ga perlu makai paspor ya ka? soalnya aku mau naik tpi blm punya paspor , tolong jawabannya ka 🙏🏼",1
"Makasih bang tutorialnya, besok mau terbang ke Bali soalnya hehe",2
Akhir bulan ini mau terbang tapi gak tau cara nya 😁😁😣,0
Langsung aku subscribe bang🤗sukses terus🤗,2
"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=14m45s"">14:45</a> sumpah gw gak salah liat??? Ada jet tempur sukhoi ?👀 pengen banget liat langsung jet tempur🥺",1
Takut banget 😭😭 kak mau nanya kalo naik pesawat emang pasti ada turbulensi?😭gimana rasanya?😥😥,0
Bang coba naik pesawat lion atr,0
Bang coba naik pesawat lion,0
Kak untuk ambil bagasi info ny itu dimana ya kyk hrus ambil dinomer brp2ny itu gmn ada board pengungumannya ga,1
Di dalam pesawat boleh ngerekam pake hp g ?,1
"Sangat menginspirasi, terimakasih banyak bang",2
"enak penyampaiannya, ga jelimettt santai tp serius<br><br><br>ga salah deh kasih ini tutorial ke adik gw yg masih kecil karna gw males ngasih tau ke dia😂😂🤣<br><br>thaks bang 😊",2
"Ka mau tanya dong untuk surat hasil rapid , kalo tni polri harus test pcr apa gmna ?",1
Gue pertama kali naik pesawat ribet sendiri 😂🤦,0
Dari bandara soekarno hatta ke bandung naik terminal yg no brp kak? Saya pertama kali naik pesawat dan pergi sendiri soalnya🙏,1
"Kesan pertama naik pesawat tegang, gugup takut 😂 tp juga senang akhirnya merasakan naik pesawat😅",0
Samgat masnya sukses terus,2
Persiapan naik kapal terbang🤣🤣,1
Keren jelas sekalee hahaha,2
"Saya dulu pertama kali ke jawa kaget banyak bgt tmn² saya yang belum pernah naik pesawat dari kecil, mereka heran² kepada saya karna sering naik pesawat dari papua",1
"Wahh berguna bgt ini, aku Jumat ini pertama kali mau naik pesawat ,makasih mas infonya jadi ga malu maluin nanti pas di bandara wkwk",2
Makan Kentang ama Kepiting<br>Slamat datang di Citilink.<br>Bravo SuperGreen 😎,2
Saya naik pesawat udah dr kecil... Pesawat odong&quot;,0
Gua pertama naik pesawat ikut orang tua sepupu yg udh tua Allhamdulillah lancr d arahin😀😀tapi gua kesini binggung nanti mau pulng sendiri naik pesawat😀😀,0
Trimakasih bg sangat bermanfaat👍,2
Sangat membantu dan bermanfaat sekali yg pada belum pernah naik pesawat🙏,2
Kak kalo masih pelajar dan belum punya KTP pakek kartu pelajar atau apa?,1
Tuk anak usia 2thun d9kuman ap yg d perlukan tuk check in d bandara,1
deg2an 😭😭,0
Sby tarakan berapa ya tiketnya,1
Thanks mas mantap.. Salam kenal ya 👍🙏,2
Gua naik pesawat udah 2 kali bang tapi pesawat lion air dari surabaya ke pontianak bg,0
Selamat hari raya idul gitri yah guyss,2
Kontek paling mudah di mengerti auto subs,2
"Terimakasih ya kak atas videonya, sepertinya cuma vlog kakak yang bener2 menjelaskan secara detail, terimakasih",2
"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=13m08s"">13:08</a> POV thumbnail",1
Kk emang harus pakai ktp ya,0
Asepso,0
"Mas kalo misalnya penerbangan kita ada transitnya, itu haruskah melapor ke petugas? Saya baca diinternet katanya harus melapor kepetugasnya sedangkan saya bingung petugas bagian yang mananya",1
"Bang tutorial naik pesawat ke luar negeri dong, dari pergi, transit dan sampai negara tujuan🙏🏻 saya nanya seperti ini karna saya yakin kalo bang ikhwan selalu ngejelasin yang detail jadi itu membuat saya mudah mengerti🙏🏻",2
Citilink ada bagasi gratisnya kak?,2
Semoga saya dapat aminn,1
Bang klo dia atas pesawat dingin gak bang,2
Ada yg kurang lengkap yaitu swab test atau antigen...,0
Akhirnya dapat jg vidio tutorial naik pesawat ter ter ter terlengkap dan sangat sangat sangat mudah dipahami😭,2
Pengen dah,2
"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=14m47s"">14:47</a> kok ada MiG-29 fulcrum ya 😅 hahaha",1
Doain kk semoga bisa kemekah bareng ortu,1
Padahal cuma nonton doang ya tp berasa beneran ikut naik peswat,2
"2020 desember pertama x naik pesawat dri bndra soeta ke ngurahrai (bali) naik Batik Air<br>Pas wktu pandemi lg, perasaan saya kok sesulit itu y mau naik psawat jg bnyk bgtt pmeriksaan nya hrus ksana sini (kta ny klo gk pandemi gampang)mungkin lg pndemi aj jdi ribet.<br>Pas pesawat mau naik🤣🤣(pke bhsa yg saya tau wktu itu) jantung tuh berasa mau copot,pegangan sekenceng² nya,air mata pun keluar sendiri trus mnerus (entah takut atau apa lah gaje pokoknya) tpi pas mau landing alias turun 🤭 gk kerasa apa² sihh gk kyk mau take off uwuwww pokok nya 🤭 mnurutku klo buat yg blm prnh naik pesawat tuh rasanya sama dgn kita pertma x naik liftt",0
"Nonton ini dulu, pas banget besok mau flight pake citylink ke banjar sendirian😂<br>Bingung belom pernahw wkwkwk",0
"Tuh pramugari dimenit <a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=10m43s"">10:43</a> tuh cantik juga Njirr 😂 😂.jadi suka 😂<br><br>Mumpung nih apa nama IG dia yah ? 😂🤣",2
"Akhir Bulan ini,manado-balikpapan adalah penerbangan pertama saya,jujur takut bgt.<br>Kalo ka ikhwan baca ini,kasih advise dong biar rasa takut saya mungkin sdkit berkurang hehe😊",0
Komentar19rb,1
Thankyouu bang❤️ informatif sekali,2
Apa cuman aku yang cita&quot; nya Pramugari tapi takut untuk naik?,0
Bawa rokok boleh gk bg,1
Citacita jadi pramugari tapi takut ketinggian,0
Tapi ttp pake paspor gak?,1
Ga bisa kubayangkan Bisa tersesat Akau d bandara ga pernah naik pesawat 😂😂,0
Belum kesampaian naik pesawat,1
Komentar19rbwbnsnw,1
"Bismillah, saya juga akan berangkat ke Jayapura naik pesawat cilink juga, doain ya kak🙏  btw kak aku mau bertanya, emang boleh ya di pesawat menggunakan hp hehe",2
Komentar19rb,1
Kalau pembayaran melalui mini market bisa gak,1
Kak mau nanyak klok di pesawat boleh bawa makanan ringan ga?,1
Min hp kpn bisa d pakai????,1
Bang reuqest kursi dekat jendela pas ceck in bisa ga terus bayar ga,1
Komrntar19rb,1
Terima kasih oom infonya sangat terstruktur dan jelas....hadir oom ku...,2
Ka tutorial naik pesawat klo ada transit nya yg penerbangan internasional 👌🏻,2
Nama mbaknya siapa bang Ikhwan?,1
kalo gk punya ktp gmn,1
Waktu gua umur 10 bulan udah naik pesawat :v,1
Aku pernah naik pesawat tapi pesawatnya ya... Sederhana saja jadi kalau naik pesawat yang kaya lion air dan kaya Wings air.,0
"Bang,kalau belum ada ktp gimana ya bang...? hehehe",1
nah ini baru penjelasan yg detail. cari cari vlog org pada gak jelas”,2
"wihh gampang ternyata,,tinggal nabung wkwk",2
Deg degan bgt belum pernah naik pesawat sekalinya naik sendirian. Uji nyali sih ini fix,0
Terima kasih Kak ikhwan hidayat vlog nya sangat berguna dan sangat bermanfaat buat saya dan semua orang yang belum pernah naik pesawat.,2
Lumayan naik pesawat ✈️ online sama Abang ni😂,2
Seumur hidup belum tau naik pesawat 😀,1
deg degan,0
"Wah Bagus ni... bang buat juga tutorial pertama kali ke luar negeri... cek in, imigrasi dll...",2
apa cuma gw yang takut mau naik pesawat,0
"pengalaman pertama naik pesawat, pas take off gue pegangin tangan temen gue kenceng banget tapi pas udah diatas seru. jadi ketagihan terbang nih, next coba terbang sendiri",2
Bagus banget.. 😊😁,2
kalo aku dari dulu keliling eropa,1
"Terima kasih banyak atas infonya kak. Sudah banyak nonton cara naik pesawat di yutchup tapi baru kali ini nemu yang paling lengkap, lengkap banget, sampai keterangan ticket/check-in/boarding/cari gate/cari pesawat/kursi penumpang juga ditunjukin dan dijelasin dengan detail. Walaupun saya belum berencana/belum pernah naik pesawat, tapi pan kepo caranya, dan cuma punya kakak yang paling lengkap banget. <br><br>Kalau bisa request yang mode penerbangan transit juga dong, kak. Tapi ya setelah korona musnah aja kali ya. Soalnya mahal pan biaya swab2nya. Hehehe.",2
First time naik pesawat itu bkin deg2 an.. smpai skrg juga klu naik pswat suka gaduh sndiri serasa jantung mau copot klu pas take off🤦‍♀️,0
Cara izin bikin vlognya gimana?,1
Makasih bang tutorialnya.. 👍👍<br>Tapi klo sdg pandemi gini aku malah bingung pake acara swab segala 😭,2
Gw sebulan bolak balik jakarta medan naik biasa aja loh,1
"Jadi kalo barang ktA dibagasi <br>Kita meninggal pesawat bentar,terus balik lagi bg...<br> Atau kayak mna cara pengambilan ya,<br>Hahaha belum pernah naik pesawat",1
"Pengalaman saya sebenarnya agak mengerikan saat naik pesawat pertama kali....waktu itu saya naik pesawat dari Singapura menuju Jakarta dengan maskapai Garuda Indonesia ya...awal² memang pesawat masih baik kondisi nya.....sekitar pukul 14.15 pesawat mulai take off dari bandara Changi Singapura, sampai setengah perjalanan belum ada masalah apa pun, sampai pukul  14.30 setelah lepas landas pesawat pun mulai mati mesin dan suasana mulai mencekam lampu mati di dalam pesawat , penumpang panik termasuk saya sendiri dan di situ saya mencoba untuk tenang tidak panik dan akhirnya kita pun nggk bisa sampai ke Jakarta di putuskan sama captain nya untuk berbalik arah ke bandara Changi dan di situ saya mulai merasakan trauma yang sangat hebat🥺🥺🥺🥺jika di tanya knapa mesin bisa mati saat itu pesawat mengeluarkan asap dari mesin sebelah kiri setelah sebelah kiri mati di susul juga dengan mesin sebelah kanan dan akhirnya mati semua kedua mesin kita ke bandara Changi dengan posisi mesin mati atau mengglider tanpa mesin jujur sampai sekarang saya masih takut naik pesawat gara gara kejadian itu 🙂🙂🥺🥺🥺🥺🥺",0
"Belom pernah naik pesawat, pengennya pertama kali ppake pesawat pas umroh atau bisa naik haji..😇",1
Makasih Kakak untuk videonya,2
"Saking takutnya ketinggian,cuma liat video ini aja berasa takutnya",0
Terima kasih brother untuk tutorialnya 😇👍👍 sangat bermanfaat ✈️✨ tapi aku minta tolong kalau ada kesempatan bikinin tutorial naik pesawat untuk disabilitas tuna netra dong soalnya aku gak bisa kalan sendirian ke bandara dan cek in sana sini....😁😁🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,2
Dulu pas naik pesawat takut mau videoin. . . Boleh ngak si sebenarnya buka hp buat videoin?,1
Makasih bg,2
"sumpahhhh bener&quot; lengkapp❤️ auto subscriba bang. cuma saya berangkat besok pagi ,dan keadaan covid jadi ketambahan surat rapid hihih",2
Bang kalo mau naik pesawat ngajak aku aja dikota Semarang ahahahhaha wkwkwkwkwk aku belum pernah naik pesawat dari dulu pengen banget kereta aja belum pernah wkwkkwk doa&quot;in ya banggg biar aku cepet bisa naik pesawat 🙈,1
AKU BLM PERNAH NAIKK PESAWAT DAN TIDAK AKAN PERNAH MAU NAIK PESAWAT,0
Cari pesawat kita pas dilandasan gmn caranya? Tadi di boarding pass gaada nomornya soalnya? Maaf gatau😂,1
"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=18m20s"">18:20</a> Stadion sijalak harupat",1
Apakah cuman saya yang belum beli pesawat?😢,1
ini posisi wajahnya terlalu dekat sama kamera ga sih? apa cuma gw aja yg ngerasa?,1
"vlog yang sangat membantu sekali bang, untuk orang yang belum pernah naik pesawat bahkan untuk saya yang tidak pernah masuk bandara sampai sekarang ini benar2 sangat membantu dan setidak nya memberi sedikit gambaran tentang semua tatacara nya transportasi menggunakan pesawat, karna siapa tahu suatu saat saya harus pergi menggunakan pesawat video ini lah yang pertama kali saya rewatch hehe<br><br>terima kasih bang tetap berkarya !!",2
"jelas banget jujur, makasih kak",2
"Yaalloh inget bandara Hussein jadi inget masa PKL saya tahun2017,tiap hari liat pesawat tapi blm pernah naik,mudah mudahan suatu saat saya bisa naik aamiin",1
Hadir...  Oke,2
Bang cobain tutorial naik dari bandara bandung ke yogya/bali biar saya paham bang cara nya makasih,1
Bang cobain tutorial naik dari bandara bandung ke yogya/bali biar saya paham bang cara nya makasih,1
Bikin vlog naik pesawat dan syarat terkini,1
MANTAP KAK.... MANTAPP SEMOGA SUKSES YA KAKKKKK.. AKU AJDI TAHU DEH CARANYA BELI TIKET PESAWAT WLWKWKWKWKKW,2
Pramugarinya cantik.. IG nya dunk..,2
bang kalo nitip barang di bagasi itu kena biaya tambahan kah? bang bagasi itu yang tempat untuk simpan koper diatas tempat duduk itukah? saya masih bingung hehe,1
Penasaran pengen naik tapi takut jatuh g bisa bangun lagi. 😩,0
"Permisi saya mau tanya judul music awal dri 0 - menit 1 apa judul music nya, dan nge vloger pkai kamera apaan mass??",1
"Saya simpen videony ahh.. biar ga malu&quot;in pas d Bandara.. <br>Siapa tau brangkat sndiri,, biar ga bingung..",1
Mau naik pesawat lagi tapi bingung mau kemana😂,0
Judul lagu nya apa bro?,1
"Nonton sambil menghayal dulu, sapa tau nanti bisa traveling2 wkwkwk<br>Vlognya kereenn pokoknya",2
"mau nanya lagi,untuk bagasi apa ad nomor2 ny atau satu tempat pengambilan saja",1
kalau A itu urutan kursi ny dekat jendela ?atau gk,1
Selain KTP apa ajah?,1
Pengalaman saya saat itu mau buang air besar dan mau ke toilet takut,0
Itu pesawat kecil makanya pintunya si nelakan aja,0
Kopernya di taruh dimana kak??,1
Lengkap bgtt . Keren,2
Kak boneka bisa dibawa gak ke kabin?? Ukuran 100cm,1
Akhirnya ktemu chanel yg leengkap.  Minimal laah gak katrok banget naaik psawat gue😝.,2
"Ka Surat Rapid test,kalau di maskapai berlaku ny brpa hari.",1
Mks bang bisa buat pelajaran,2
Naik pesawat pertama kali ke taipei...waduhhh deg deg an pas waktu itu😆😆😆,0
"kang,tolong buat tutorial naik angkot,naik lif,naik kereta api,naik kuda,naik kerbau,",1
"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=8m30s"">8:30</a> Kak kalau request tempat duduk gitu ps di konter checkin apakah ga di tambah biaya lagi? yang tahu boleh bantu jawab ya hehe",1
Saya udh berkali2 naik pesawat ttp aja takut keringet dingin dan gk bisa tdr,0
