,text,label,clean_text
49,Jelass Terimakasih. Asli deg degan. Entar kalau sudah saya inn syaa Allah kembali ya kak,2,jelass terimakasih asli deg degan inn syaa allah ya kak
50,Bang pesawat nya bagus,2,bang pesawat nya bagus
51,"Thx ya ka.. Sngat membantu. Dr skian bnyk vlog tentang first flight, vlog ini yng paling detail dan sangat membantu. Sukses terus ka ☺",2,terimakasih ya ka bantu ski vlog first flight vlog detail bantu sukses ka
52,"Terimakasih kaka.. sangat membantu sekali videonya, detail, jelas dan mudah dipahami. aku langsung subsscribe donk",2,terimakasih kaka bantu video detail mudah paham langsung subsscribe donk
53,Sangat membantu sekali bang terimakasih atas infonya dan reviewnya semoga channel ini sangat bermanfaat bagi orang lain 🙏,2,bantu bang terimakasih informasi reviewnya moga channel manfaat orang
54,Mudah untk di pahami🙏🏻,2,mudah untk paham
55,"tutorial terlengkap,good",2,tutorial terlengkapgood
56,Kk aku liat di youtub orang ada yang udah nyampe terus nganu kode kode  gitu,0,kk lihat youtub orang nganu kode kode
57,Kebanyakan bacot,0,banyak bacot
58,Kebanyakan bacot,0,banyak bacot
59,Bang mau nanya. Sya kan beli tiket di online utk 2 orng saya dan istri sya. Pertanyaan sya apakh kita bisa duduk berdampingan dgn istri di pesawat???,1,bang beli tiket online orang istri apakh duduk damping istri pesawat
60,"Singkat, padat, jelas..<br>Thanks banget bang ikhwan, sehat selalu.",1,singkat padat jelasbrthanks banget bang ikhwan sehat
61,Ka ikwan... Nanya dong <br><br>Tas bawaan sama bagasi beda ya? <br>Terus kalau transit gimana ka? <br><br>Terima kasih <br>Saya belum pernah soalnya mau naik jadi belajar sekarang hhe,1,ka ikwan brbrtas bawa bagasi beda ya brterus transit ka brbrterima kasih brsaya ajar hhe
62,Tutorial ke toilet pesawat dong kak,1,tutorial toilet pesawat kak
63,Masih bingung kak. Untuk alat elektronik seperti HP apakah harus dimatikan atau cukup menggunakan mode penerbangan?,0,bingung kak alat elektronik hp mati mode terbang
64,Ko aku deg2an ya 😂 berasa sedih lagi belum juga naik,0,ko degan ya asa sedih
65,Trims tutorialnya pak Bos,2,trims tutorial bos
66,Kak mau tanyaaa<br>1. Waktu security cek yang pertama itu koper di timbang nggak?<br>2. Kalo misal udah check in online lalu koper ternyata 8kg (gratis bagasi kan ya kak? Maks20) dan itu harus checkin konter lagi?,1,kak tanyaaabr aman cek koper timbang nggakbr cek in online koper kg gratis bagasi ya kak maks checkin konter
67,Delay 3 jam wkwkwk naik singa udara 😂,0,delay jam wkwkwk singa udara
68,Seru banget jadi rindu kehidupan normal tanpa menggunakan masker :(,2,seru banget rindu hidup normal masker
69,"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=10m43s"">10:43</a> Pramugarinya cantik bang",2,pramugari cantik bang
70,di menit 14.46 ada Sukhoi Su-30 MK2 Flanker TNI AU lagi parkir,1,menit sukhoi su mk flanker tni au parkir
71,Bang serius nnya itu wktu ngerekam di dlm pesawat pke HP pa handycam soalx HP Aq matiin klo dah di dalam pesawat jd g bs buat video 😀,1,bang serius nnya ngerekam pesawat pakai hp pa handycam soalx hp mati pesawat video
72,Kak penitipan koper di bagasi itu dibagian check in pas akan dapat boarding pass juga ya? Trus nnti pasti ditanya petugas ga buat dititipkan dan ditimbang dlu?,1,kak titip koper bagasi bagi cek in pas boarding pass ya nnti tugas titip timbang
73,Lengkap banget penjelasannya . Makasih y kk,1,lengkap banget jelas terimakasih y kk
74,"Deg2an karena mau ke bali, pertama kali naik pesawat... Hehhe.. makasih tutorialnya bang..",2,degan bal kali pesawat hehhe terimakasih tutorial bang
75,"udah lama nggak berpergian, jadi pengen naik pesawat dan berpergian lagi",2,pergi pesawat pergi
76,Lah ada dani,1,dan
77,p,1,p
78,"ka anak umur 4 thn bayar ga ya ,niat mau jemput anak naek pesawat nih tadinya",1,ka anak umur bayar ya niat jemput anak pesawat nih
79,Pertama naik pesawat huh rasanya ndak karuan takut campur aduk....dari jogja papua transit di makasar  9 jm yang saya lakukan berdoa dan berdoa maklum WONG NDESO takut ketinggian🤭,0,pesawat huh karuan takut campur adukdari jogja papua transit makasar jm laku doa doa maklum ndeso takut tinggi
80,Terimaksih atas² info nya,2,terimaksih atas informasi nya
81,Mau nanya lagi nie bang pesawat buat bulan Maret tanggal 18 2022 ada gk bang buat ke palangkaraya jurusan nya ada gk bang,1,bang pesawat maret tanggal bang palangkaraya jurus nya bang
82,Bang mau nanya.. Ktp nya di cek SEKEN apa cuman di ambil nik nya aja soal nya ktp ASLI SAYA PATAH jdi 2 cuman saya sdh sambung lagi bisa gk bang buat naik pesawat.. Ke kalimantan palangkaraya dri jakarta palangka KTP NYA di apain di seken apa di ambil Nik ajaajagmna bng penjelasan nya bisa,1,bang ktp nya cek bekas ambil nik nya nya ktp asli patah sambung bang pesawat kalimantan palangkaraya jakarta palangka ktp nya apain bekas ambil nik ajaajagmna bng jelas nya
83,"Bg, untuk barang di Kabin boleh ga dua tas? Total beratnya ga sampe 7 kilo.",1,bg barang kabin tas total berat kilo
84,Bang kalo dapet makanan dari pesawat gak bpleh bawa pulanh ya?? <br>Dan berapa jam jakarta banding,1,bang dapet makan pesawat bpleh bawa pulanh ya brdan jam jakarta banding
85,"Kalau beli tiket bayar per orang yaa, hehe maaf norak 2022 :)",1,beli tiket bayar orang yaa hehe maaf norak
86,eh telat 2 th ty infonya kak,0,eh telat th ty informasi kak
87,klo ada transit gimana bang chekin ulangnya,1,transit bang chekin ulang
88,Ka boleh bawa HP ke dalem trs ngerekam ya kak,1,ka bawa hp dalem ngerekam ya kak
89,Tutorial terlengkap,2,tutorial lengkap
90,Alhamdulillah.,2,alhamdulillah
91,"Big Thanks for you banggg 💙<br>Dri semua penjelasan prosedur naik pesawat, lu doang yg paling clear and detail 😌",2,big terimakasih banggg brdri jelas prosedur pesawat clear and detail
92,ini baru detail,2,detail
93,Bang cara tau itu koper kt bagaimana ? Apa.dkkasi kode apa gimn,1,bang tau koper apadkkasi kode gimn
94,"Makasi bg tutorial yang jelas👍🏻👍🏻👍🏻 sekali dr sekian byk org yg bwt<br>Auto subs, sukses terus bg",2,makas bg tutorial sekian orang bwtbrauto subs sukses bg
95,Thanks bang tutor nya.. first time taun depan saya dan kelompok ke Denmark menghadiri undangan Roskilde Festival,2,terimakasih bang tutor nya first kelompok denmark hadir undang roskilde festival
96,Kakaaa Makasi yaaa huhu detail bgt ini🖤,2,kakaaa makas yaaa huhu detail banget
97,Kek kenal pramugari nya kayak yg di vidio sebekah deh,2,kenal pramugari nya video sebekah deh
98,Cara naik kapal laut gmn bang,1,kapal laut bang
99,Klo yg masih 16 thn blm pnya ktp bisa ga?,1,ktp
100,"Mksih bg,saya blom pernah naik pesawat,sngat membantu saya klo Allah SWT menyizinkan saya nanti pesawat..",2,terimakasih bgsaya pesawatsngat bantu allah subhanahu wata ala menyizinkan pesawat
101,Terima kasih sangat membantu 🙏,2,terima kasih bantu
102,Akhirnya nemu tutorial yg dicari. SGT lengkap n jelas. HR ini pertama akan naik pesawat. SMG selamat SM plg kembali aamiin 🙌 trimakasih byk mas 🙏,2,temu tutorial cari lengkap n pesawat moga selamat pulang aamiin trimakasih mas
103,KAK  sekarang  korona   bisa  nggak  anak kecil  Naik  pesawat  ??,1,kak korona anak pesawat
104,"Kak, kalau misalkan kita bawa 2 koper apakah akan kena biaya lagi ?? Kalau misalkan koper di bawa ke kabin apa di bagasi ?",1,kak bawa koper kena biaya koper bawa kabin bagasi
105,Makasi huhu detail bgt,2,makas huhu detail banget
106,Tutorial yg 👍,2,tutorial
107,Tutor transit dong,2,tutor transit
108,"Mantap tutor nya,",2,mantap tutor nya
109,Kak kalo naik pesawat buat orang pertama kali tuh bakal ngerasain pusing gak sih? Atau sampe mual gtu yang orgnya gampang mabuk perjalanan. Terima kasih 🙏,0,kak pesawat orang kali tuh rasa pusing sih mual orang gampang mabuk jalan terima kasih
110,ada yang tau IG Pramugari yang di Thumbnail?,2,tau ig pramugari thumbnail
111,Bang gue nonton terus video abang tapi tujuan Ambon ko ga ada kalau ke ambon kabarin yah biar aku bisa jemput 🙏👍,1,bang nonton video abang tuju ambon ko ambon kabarin yah biar jemput
112,"Salam dari anak kampung 😉<br>Mau nanya bang, selama perjalanan apakah didalam pesawat diperbolehkan mengaktifkan smart phone bang?<br><a href=""http://www.youtube.com/results?search_query=%23maap"">#maap</a> belum pernah naik pesawat nih, cuma bisa liat di Ytb 🤭",1,salam anak kampung brmau bang jalan dalam pesawat boleh aktif smart phone bangbra pesawat nih lihat ytb
113,Bg boleh tidak bawa roti dan makan ke dlm pesawat citilink ?,1,bg bawa roti makan pesawat citilink
114,Nitip kopernya gimana kalo dibagasi,1,nitip koper bagasi
115,Kak kalo misalnya kita transit itu kita ambil bagsi sendiri atau petugasnya yg memindahkan lagi barang nya kk?,1,kak transit ambil bagsi tugas pindah barang nya kk
116,awal naik pesawat tujuan jkt palembang 17 Januari 2014 waktu itu deg degn campur aduk dll,0,pesawat tuju jakarta palembang januari deg degn campur aduk lain
117,Mantap makasih,2,mantap terimakasih
118,"bang,mau tanya penerbangan dari bandara radin intan 2 ke bandara kalimarau kalimantan ada bang? <br>mungkin abang pernah kesana.",1,bangmau terbang bandara radin intan bandara kalimarau kalimantan bang brmungkin abang kesana
119,Tutorial ini masih berlaku untuk sekarang ga ya?,1,tutorial laku ya
120,saya parno dan takut naik pesawat...tp insyaallah pasti bisa mengatasi rasa takut,0,parno takut pesawattp insyaallah atas takut
121,Kak tutor nek pesawat pas pandemi boleh gak? Rencananya tahun dpn aku mau ajak kluarga kluar kota. Terima kasih,1,kak tutor nek pesawat pas pandemi rencana ajak keluarga kota terima kasih
122,"Mau tanya , apa kah bisa koper ukuran 18inc dibawa masuk taro cabin?",1,kah koper ukur inc bawa masuk taro cabin
123,Cara rekues  dari labuan bajo ke Batam bang plis,1,rekues labu bajo batam bang mohon
124,"sslam sehat bang trmksih tutorial naik pesawatnya sgt bermanfaat bagi pemula,semgat n sukses terus bang..",2,sslam sehat bang trmksih tutorial pesawat manfaat pemulasemgat n sukses bang
125,Kak ada video yg pesen dari traveloka gaa?,1,kak video pesan traveloka gaa
126,bang boarding itu apa ya ?,1,bang boarding ya
127,josinael juga belum,0,josinael
128,edwin<br>apli kubtex hoel,0,edwinbrapli kubtex hoel
129,"Kak, maaf belum pernah naik pesawat. Ini ngerekamnya pakai apa? Sy pikir dipesawat itu tidak boleh menyalakan alat elektronik sama sekali. 😅",0,kak maaf pesawat ngerekamnya pakai pikir pesawat nyala alat elektronik
130,Dari jakarta ke Kalimantan harus pake paspor ga ka?,1,jakarta kalimantan pakai paspor ka
131,Klo blm punya KTP gimana?,1,ktp
132,bang ATR72-600 dilihat dari mana ?,1,bang atr
133,Thanks informasinya abang🙏,2,terimakasih informasi abang
134,"Karna insya allah 2 bulan lagi gua mao ke makasar naik pesawat pertama kali, ini vidio gua simak betul&quot; .<br>Trimakasih atas info lengkap dan jelas nya bang",2,insya allah makasar pesawat kali video simak betulquot brtrimakasih informasi lengkap nya bang
135,Barang atau tas yg kita bawah ke dalam kabin pesawat di hitung dari berat bagasi ya mas,1,barang tas kabin pesawat hitung berat bagasi ya mas
136,Lengkap bgt 👍,2,lengkap banget
137,"maaf ka sebelumnnya , semua pesawat ga perlu makai paspor ya ka? soalnya aku mau naik tpi blm punya paspor , tolong jawabannya ka 🙏🏼",1,maaf ka sebelumnnya pesawat pakai paspor ya ka paspor tolong jawab ka
138,"Makasih bang tutorialnya, besok mau terbang ke Bali soalnya hehe",2,terimakasih bang tutorial besok terbang bal hehe
139,Akhir bulan ini mau terbang tapi gak tau cara nya 😁😁😣,0,terbang tau nya
140,Langsung aku subscribe bang🤗sukses terus🤗,2,langsung subscribe bangsukses
141,"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=14m45s"">14:45</a> sumpah gw gak salah liat??? Ada jet tempur sukhoi ?👀 pengen banget liat langsung jet tempur🥺",1,sumpah salah lihat jet tempur sukhoi banget lihat langsung jet tempur
142,Takut banget 😭😭 kak mau nanya kalo naik pesawat emang pasti ada turbulensi?😭gimana rasanya?😥😥,0,takut banget kak pesawat emang turbulensigimana
143,Bang coba naik pesawat lion atr,0,bang coba pesawat lion atr
144,Bang coba naik pesawat lion,0,bang coba pesawat lion
145,Kak untuk ambil bagasi info ny itu dimana ya kyk hrus ambil dinomer brp2ny itu gmn ada board pengungumannya ga,1,kak ambil bagasi informasi ny mana ya ambil dinomer brpny board pengungumannya
146,Di dalam pesawat boleh ngerekam pake hp g ?,1,pesawat ngerekam pakai hp
147,"Sangat menginspirasi, terimakasih banyak bang",2,inspirasi terimakasih bang
148,"enak penyampaiannya, ga jelimettt santai tp serius<br><br><br>ga salah deh kasih ini tutorial ke adik gw yg masih kecil karna gw males ngasih tau ke dia😂😂🤣<br><br>thaks bang 😊",2,enak sampai jelimettt santai seriusbrbrbrga salah deh kasih tutorial adik malas tau diabrbrthaks bang
149,"Ka mau tanya dong untuk surat hasil rapid , kalo tni polri harus test pcr apa gmna ?",1,ka surat hasil rapid tni polri test acar
150,Gue pertama kali naik pesawat ribet sendiri 😂🤦,0,kali pesawat ribet
151,Dari bandara soekarno hatta ke bandung naik terminal yg no brp kak? Saya pertama kali naik pesawat dan pergi sendiri soalnya🙏,1,bandara soekarno hatta bandung terminal nomor kak kali pesawat pergi
152,"Kesan pertama naik pesawat tegang, gugup takut 😂 tp juga senang akhirnya merasakan naik pesawat😅",0,kesan pesawat tegang gugup takut senang rasa pesawat
153,Samgat masnya sukses terus,2,samgat mas sukses
154,Persiapan naik kapal terbang🤣🤣,1,siap kapal terbang
155,Keren jelas sekalee hahaha,2,keren sekalee hahaha
156,"Saya dulu pertama kali ke jawa kaget banyak bgt tmn² saya yang belum pernah naik pesawat dari kecil, mereka heran² kepada saya karna sering naik pesawat dari papua",1,kali jawa kaget banget tmn pesawat heran pesawat papua
157,"Wahh berguna bgt ini, aku Jumat ini pertama kali mau naik pesawat ,makasih mas infonya jadi ga malu maluin nanti pas di bandara wkwk",2,wahh guna banget jumat kali pesawat terimakasih mas informasi malu maluin pas bandara wkwk
158,Makan Kentang ama Kepiting<br>Slamat datang di Citilink.<br>Bravo SuperGreen 😎,2,makan kentang kepitingbrslamat citilinkbrbravo supergreen
159,Saya naik pesawat udah dr kecil... Pesawat odong&quot;,0,pesawat pesawat odongquot
160,Gua pertama naik pesawat ikut orang tua sepupu yg udh tua Allhamdulillah lancr d arahin😀😀tapi gua kesini binggung nanti mau pulng sendiri naik pesawat😀😀,0,pesawat orang tua sepupu tua allhamdulillah lancr d arahintapi kesini binggung pulang pesawat
161,Trimakasih bg sangat bermanfaat👍,2,trimakasih bg manfaat
162,Sangat membantu dan bermanfaat sekali yg pada belum pernah naik pesawat🙏,2,bantu manfaat pesawat
163,Kak kalo masih pelajar dan belum punya KTP pakek kartu pelajar atau apa?,1,kak ajar ktp pakai kartu ajar
164,Tuk anak usia 2thun d9kuman ap yg d perlukan tuk check in d bandara,1,tuk anak usia thun dkuman ap d perlu tuk cek in d bandara
165,deg2an 😭😭,0,degan
166,Sby tarakan berapa ya tiketnya,1,sby tara ya tiket
167,Thanks mas mantap.. Salam kenal ya 👍🙏,2,terimakasih mas mantap salam kenal ya
168,Gua naik pesawat udah 2 kali bang tapi pesawat lion air dari surabaya ke pontianak bg,0,pesawat kali bang pesawat lion air surabaya pontianak bg
169,Selamat hari raya idul gitri yah guyss,2,selamat raya idul gitri yah guyss
170,Kontek paling mudah di mengerti auto subs,2,kontek mudah erti auto subs
171,"Terimakasih ya kak atas videonya, sepertinya cuma vlog kakak yang bener2 menjelaskan secara detail, terimakasih",2,terimakasih ya kak video vlog kakak bener detail terimakasih
172,"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=13m08s"">13:08</a> POV thumbnail",1,pov thumbnail
173,Kk emang harus pakai ktp ya,0,kk emang pakai ktp ya
174,Asepso,0,asepso
175,"Mas kalo misalnya penerbangan kita ada transitnya, itu haruskah melapor ke petugas? Saya baca diinternet katanya harus melapor kepetugasnya sedangkan saya bingung petugas bagian yang mananya",1,mas terbang transit harus lapor tugas baca diinternet lapor tugas bingung tugas mana
176,"Bang tutorial naik pesawat ke luar negeri dong, dari pergi, transit dan sampai negara tujuan🙏🏻 saya nanya seperti ini karna saya yakin kalo bang ikhwan selalu ngejelasin yang detail jadi itu membuat saya mudah mengerti🙏🏻",2,bang tutorial pesawat negeri pergi transit negara tuju bang ikhwan ngejelasin detail mudah erti
177,Citilink ada bagasi gratisnya kak?,2,citilink bagasi gratis kak
178,Semoga saya dapat aminn,1,moga aminn
179,Bang klo dia atas pesawat dingin gak bang,2,bang pesawat dingin bang
180,Ada yg kurang lengkap yaitu swab test atau antigen...,0,lengkap swab test antigen
181,Akhirnya dapat jg vidio tutorial naik pesawat ter ter ter terlengkap dan sangat sangat sangat mudah dipahami😭,2,video tutorial pesawat ter ter ter lengkap mudah paham
182,Pengen dah,2,
183,"<a href=""https://www.youtube.com/watch?v=9j4Td1SfI7U&amp;t=14m47s"">14:47</a> kok ada MiG-29 fulcrum ya 😅 hahaha",1,mig fulcrum ya hahaha
184,Doain kk semoga bisa kemekah bareng ortu,1,doa kk moga kemekah bareng ortu
185,Padahal cuma nonton doang ya tp berasa beneran ikut naik peswat,2,nonton ya asa beneran peswat
